,date,open,high,low,close,volume
2330,2022-02-04 10:35:00+05:30,3804.0,3804.0,3801.5,3802.0,2993
2331,2022-02-04 10:36:00+05:30,3802.0,3802.0,3799.0,3800.25,2886
2332,2022-02-04 10:37:00+05:30,3800.25,3801.05,3799.0,3799.0,3569
2333,2022-02-04 10:38:00+05:30,3799.75,3801.65,3798.8,3800.05,2809
2334,2022-02-04 10:39:00+05:30,3800.05,3801.8,3800.0,3800.1,2671
2335,2022-02-04 10:40:00+05:30,3800.1,3801.85,3799.1,3801.0,3290
2336,2022-02-04 10:41:00+05:30,3801.0,3801.0,3800.1,3800.4,2716
2337,2022-02-04 10:42:00+05:30,3800.0,3802.8,3800.0,3800.7,2801
2338,2022-02-04 10:43:00+05:30,3800.7,3800.7,3799.7,3800.2,1316
2339,2022-02-04 10:44:00+05:30,3800.05,3800.2,3798.0,3798.95,2719
2340,2022-02-04 10:45:00+05:30,3798.95,3798.95,3798.0,3798.4,1979
2341,2022-02-04 10:46:00+05:30,3797.85,3798.15,3796.05,3796.35,3939
2342,2022-02-04 10:47:00+05:30,3796.8,3797.9,3796.7,3797.15,3325
2343,2022-02-04 10:48:00+05:30,3797.15,3797.15,3795.4,3797.0,2118
2344,2022-02-04 10:49:00+05:30,3797.0,3799.0,3795.7,3798.15,1971
2345,2022-02-04 10:50:00+05:30,3798.15,3799.2,3797.45,3798.2,1532
2346,2022-02-04 10:51:00+05:30,3798.2,3800.6,3797.05,3800.6,2753
2347,2022-02-04 10:52:00+05:30,3801.0,3803.2,3800.0,3803.2,3501
2348,2022-02-04 10:53:00+05:30,3803.2,3803.85,3800.3,3802.9,1801
2349,2022-02-04 10:54:00+05:30,3802.0,3804.0,3801.75,3804.0,1989
2350,2022-02-04 10:55:00+05:30,3804.0,3809.0,3803.1,3808.65,4550
2351,2022-02-04 10:56:00+05:30,3808.65,3810.0,3807.0,3809.8,5849
2352,2022-02-04 10:57:00+05:30,3809.85,3810.0,3807.15,3808.0,4134
2353,2022-02-04 10:58:00+05:30,3808.0,3808.0,3807.0,3807.9,1347
2354,2022-02-04 10:59:00+05:30,3807.9,3807.9,3805.2,3805.2,1699
2355,2022-02-04 11:00:00+05:30,3805.2,3807.05,3804.65,3805.95,5660
2356,2022-02-04 11:01:00+05:30,3804.35,3808.25,3804.35,3806.8,12946
2357,2022-02-04 11:02:00+05:30,3806.8,3808.0,3805.4,3807.3,7306
2358,2022-02-04 11:03:00+05:30,3806.95,3811.55,3806.95,3809.1,11739
2359,2022-02-04 11:04:00+05:30,3807.2,3808.1,3804.0,3807.0,10160
2360,2022-02-04 11:05:00+05:30,3807.0,3807.0,3805.05,3805.05,4621
2361,2022-02-04 11:06:00+05:30,3805.0,3805.05,3799.25,3803.45,27270
2362,2022-02-04 11:07:00+05:30,3803.9,3804.65,3803.4,3804.05,2899
2363,2022-02-04 11:08:00+05:30,3804.05,3805.85,3803.0,3803.35,3530
2364,2022-02-04 11:09:00+05:30,3803.35,3804.95,3803.15,3803.9,3053
2365,2022-02-04 11:10:00+05:30,3803.9,3805.6,3801.8,3805.0,54481
2366,2022-02-04 11:11:00+05:30,3804.55,3809.0,3804.5,3807.35,3901
2367,2022-02-04 11:12:00+05:30,3807.35,3808.0,3806.9,3807.15,1531
2368,2022-02-04 11:13:00+05:30,3807.15,3808.2,3806.4,3807.1,1432
2369,2022-02-04 11:14:00+05:30,3807.1,3807.1,3806.2,3806.25,1295
2370,2022-02-04 11:15:00+05:30,3806.4,3808.0,3806.0,3807.95,3611
2371,2022-02-04 11:16:00+05:30,3807.8,3809.9,3807.1,3809.8,10262
2372,2022-02-04 11:17:00+05:30,3809.8,3810.0,3809.0,3809.95,12052
2373,2022-02-04 11:18:00+05:30,3809.5,3810.5,3809.05,3809.15,3378
2374,2022-02-04 11:19:00+05:30,3809.15,3811.3,3809.0,3810.65,3922
2375,2022-02-04 11:20:00+05:30,3810.95,3812.55,3809.8,3810.0,6462
2376,2022-02-04 11:21:00+05:30,3810.0,3810.0,3807.2,3808.45,2486
2377,2022-02-04 11:22:00+05:30,3808.5,3809.35,3808.1,3809.05,2621
2378,2022-02-04 11:23:00+05:30,3809.05,3809.3,3807.9,3809.0,3497
2379,2022-02-04 11:24:00+05:30,3809.0,3809.3,3807.65,3809.15,2606
2380,2022-02-04 11:25:00+05:30,3809.15,3809.2,3807.2,3808.9,3585
2381,2022-02-04 11:26:00+05:30,3808.5,3809.0,3807.55,3808.0,2168
2382,2022-02-04 11:27:00+05:30,3808.9,3808.9,3807.4,3808.7,2440
2383,2022-02-04 11:28:00+05:30,3808.7,3812.9,3808.7,3812.9,6804
2384,2022-02-04 11:29:00+05:30,3813.1,3814.8,3811.2,3812.25,4989
2385,2022-02-04 11:30:00+05:30,3812.65,3812.65,3810.0,3810.8,2842
2386,2022-02-04 11:31:00+05:30,3810.0,3810.75,3808.6,3809.65,1752
2387,2022-02-04 11:32:00+05:30,3809.65,3809.85,3806.8,3807.85,2704
2388,2022-02-04 11:33:00+05:30,3807.9,3808.8,3806.65,3806.7,1342
2389,2022-02-04 11:34:00+05:30,3807.9,3808.05,3806.7,3807.15,3895
2390,2022-02-04 11:35:00+05:30,3807.8,3807.8,3804.0,3804.6,3641
2391,2022-02-04 11:36:00+05:30,3804.6,3806.9,3804.6,3805.95,1799
2392,2022-02-04 11:37:00+05:30,3805.95,3806.05,3804.3,3805.85,1781
2393,2022-02-04 11:38:00+05:30,3805.85,3805.95,3804.05,3805.3,2149
2394,2022-02-04 11:39:00+05:30,3805.3,3806.1,3804.05,3805.75,3825
2395,2022-02-04 11:40:00+05:30,3805.75,3808.85,3803.85,3804.75,3458
2396,2022-02-04 11:41:00+05:30,3804.75,3805.45,3803.3,3804.1,2576
2397,2022-02-04 11:42:00+05:30,3803.3,3804.15,3803.3,3803.6,2692
2398,2022-02-04 11:43:00+05:30,3803.95,3804.05,3801.95,3802.0,4430
2399,2022-02-04 11:44:00+05:30,3802.0,3805.0,3802.0,3802.0,6392
2400,2022-02-04 11:45:00+05:30,3803.05,3803.05,3799.9,3799.9,13327
2401,2022-02-04 11:46:00+05:30,3800.0,3803.0,3799.35,3801.2,18850
2402,2022-02-04 11:47:00+05:30,3801.2,3801.2,3799.55,3800.7,3368
2403,2022-02-04 11:48:00+05:30,3800.7,3800.7,3800.0,3800.0,3212
2404,2022-02-04 11:49:00+05:30,3800.55,3801.0,3800.0,3800.95,2260
2405,2022-02-04 11:50:00+05:30,3800.95,3801.0,3800.2,3801.0,2163
2406,2022-02-04 11:51:00+05:30,3801.0,3802.9,3800.9,3802.1,2710
2407,2022-02-04 11:52:00+05:30,3802.1,3802.8,3801.05,3802.3,2109
2408,2022-02-04 11:53:00+05:30,3802.3,3802.3,3801.0,3801.65,2950
2409,2022-02-04 11:54:00+05:30,3801.15,3801.95,3801.0,3801.35,2498
2410,2022-02-04 11:55:00+05:30,3801.35,3801.35,3800.05,3800.75,3834
2411,2022-02-04 11:56:00+05:30,3800.75,3802.3,3800.05,3800.95,4187
2412,2022-02-04 11:57:00+05:30,3802.2,3803.0,3800.9,3802.2,2513
